asset_id,category,priority,kind,slot,target_height,target_width,job_batch,label,prompt_chars
char_pudgy_candy_01,characters_species,0,character,,1.2,,characters,"Candy species",533
char_pudgy_candy_rare_01,characters_species,0,character,,1.2,,characters,"Candy rare morph",649
char_pudgy_ice_01,characters_species,0,character,,1.2,,characters,"Ice species",543
char_pudgy_ice_rare_01,characters_species,0,character,,1.2,,characters,"Ice rare morph",659
char_pudgy_desert_01,characters_species,0,character,,1.2,,characters,"Desert species",539
char_pudgy_desert_rare_01,characters_species,0,character,,1.2,,characters,"Desert rare morph",655
char_pudgy_meadow_01,characters_species,0,character,,1.2,,characters,"Meadow species",539
char_pudgy_meadow_rare_01,characters_species,0,character,,1.2,,characters,"Meadow rare morph",655
char_pudgy_storm_01,characters_species,0,character,,1.2,,characters,"Storm species",548
char_pudgy_storm_rare_01,characters_species,0,character,,1.2,,characters,"Storm rare morph",664
char_pudgy_crystal_01,characters_species,0,character,,1.2,,characters,"Crystal species",551
char_pudgy_crystal_rare_01,characters_species,0,character,,1.2,,characters,"Crystal rare morph",667
char_pudgy_berry_01,characters_species,0,character,,1.2,,characters,"Berry species",534
char_pudgy_berry_rare_01,characters_species,0,character,,1.2,,characters,"Berry rare morph",650
char_pudgy_bubble_01,characters_species,0,character,,1.2,,characters,"Bubble species",548
char_pudgy_bubble_rare_01,characters_species,0,character,,1.2,,characters,"Bubble rare morph",664
char_pudgy_aurora_01,characters_species,0,character,,1.2,,characters,"Aurora species",536
char_pudgy_aurora_rare_01,characters_species,0,character,,1.2,,characters,"Aurora rare morph",652
char_pudgy_honey_01,characters_species,0,character,,1.2,,characters,"Honey species",547
char_pudgy_honey_rare_01,characters_species,0,character,,1.2,,characters,"Honey rare morph",663
char_pudgy_mint_01,characters_species,0,character,,1.2,,characters,"Mint species",536
char_pudgy_mint_rare_01,characters_species,0,character,,1.2,,characters,"Mint rare morph",652
char_pudgy_night_01,characters_species,0,character,,1.2,,characters,"Night species",547
char_pudgy_night_rare_01,characters_species,0,character,,1.2,,characters,"Night rare morph",663
char_pudgy_coral_01,characters_species,0,character,,1.2,,characters,"Coral reef species",529
char_pudgy_coral_rare_01,characters_species,0,character,,1.2,,characters,"Coral reef rare morph",645
char_pudgy_ember_01,characters_species,0,character,,1.2,,characters,"Ember glow species",541
char_pudgy_ember_rare_01,characters_species,0,character,,1.2,,characters,"Ember glow rare morph",657
char_pudgy_cloud_01,characters_species,0,character,,1.2,,characters,"Cloud puff species",538
char_pudgy_cloud_rare_01,characters_species,0,character,,1.2,,characters,"Cloud puff rare morph",654
char_pudgy_sprout_01,characters_species,0,character,,1.2,,characters,"Sprout species",548
char_pudgy_sprout_rare_01,characters_species,0,character,,1.2,,characters,"Sprout rare morph",664
char_pudgy_peach_01,characters_species,0,character,,1.2,,characters,"Peach species",535
char_pudgy_peach_rare_01,characters_species,0,character,,1.2,,characters,"Peach rare morph",651
char_pudgy_grape_01,characters_species,0,character,,1.2,,characters,"Grape species",535
char_pudgy_grape_rare_01,characters_species,0,character,,1.2,,characters,"Grape rare morph",651
char_pudgy_lemon_01,characters_species,0,character,,1.2,,characters,"Lemon species",539
char_pudgy_lemon_rare_01,characters_species,0,character,,1.2,,characters,"Lemon rare morph",655
char_pudgy_cocoa_01,characters_species,0,character,,1.2,,characters,"Cocoa species",538
char_pudgy_cocoa_rare_01,characters_species,0,character,,1.2,,characters,"Cocoa rare morph",654
npc_nest_dj_01,characters_npc,0,character,,1.2,,characters,"Nest DJ Pudgy",593
npc_nest_ref_01,characters_npc,0,character,,1.2,,characters,"Nest referee Pudgy",562
npc_nest_shop_01,characters_npc,0,character,,1.2,,characters,"Nest shopkeep Pudgy",564
npc_nest_photo_01,characters_npc,0,character,,1.2,,characters,"Nest photographer Pudgy",548
npc_nest_coach_01,characters_npc,0,character,,1.2,,characters,"Nest coach Pudgy",560
npc_nest_bard_01,characters_npc,0,character,,1.2,,characters,"Nest bard Pudgy",548
char_pudgy_ocean_winter_01,characters_seasonal,0,character,,1.2,,characters,"Ocean winter",528
char_pudgy_forest_autumn_01,characters_seasonal,0,character,,1.2,,characters,"Forest autumn",525
char_pudgy_lava_party_01,characters_seasonal,0,character,,1.2,,characters,"Lava party",549
char_pudgy_sky_sunset_01,characters_seasonal,0,character,,1.2,,characters,"Sky sunset",516
char_pudgy_ocean_festival_01,characters_seasonal,0,character,,1.2,,characters,"Ocean festival",529
char_pudgy_forest_bloom_01,characters_seasonal,0,character,,1.2,,characters,"Forest bloom",524
